query,selected_mind,timestamp,metadata
"What is quantum computing?","ManifoldReasoningCore-v2",1756413230124,"{"session_id":"d63a58d1-27fd-4dd4-91a9-189b2557933e"}"
"what is ai","ManifoldReasoningCore-v2",1756413346282,"{"session_id":"a91ef4c6-1ea0-4278-a541-575961a03697"}"
"what is ai","ManifoldReasoningCore-v2",1756413514431,"{"session_id":"260a95c3-1a9c-45bb-abb1-09abe7255eaa"}"
"what is ai","ManifoldReasoningCore-v2",1756413818081,"{"session_id":"9110e2c2-2353-45eb-b957-f01a63ed8dfc"}"
"what is ai","ManifoldReasoningCore-v2",1756414124549,"{"session_id":"ff285f20-ac45-4527-9177-645c6ee2189d"}"
"what is ai","ManifoldReasoningCore-v2",1756414384864,"{"session_id":"825d1302-22cd-4da3-a8a4-3d008f086a91"}"
"what is ai","ManifoldReasoningCore-v2",1756414475774,"{"session_id":"1e462f0e-a3d7-4e40-8be1-a38a0c643788"}"
"what is ai","ManifoldReasoningCore-v2",1756414568430,"{"session_id":"2581181f-bb34-423e-aaa7-b01828a99333"}"
"what is ai","ManifoldReasoningCore-v2",1756414825742,"{"session_id":"c5303fbf-d299-401c-b606-6d9621cb4794"}"
"what is ai","ManifoldReasoningCore-v2",1756414879125,"{"session_id":"89d10c49-0503-441f-a42c-1e88bca333e0"}"
"what is ai","ManifoldReasoningCore-v2",1756415634411,"{"session_id":"d4afc8fa-2d93-49ae-a1a6-c11b3046d25e"}"
